Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
हाइपरथायरायडिज्म, स्वस्थ भोजन करें, मालिश करें, नींबू बाम का उपयोग करें, रेडियोधर्मी आयोडीन उपचार लें
मूत्र मार्ग में संक्रमण, खूब पानी पिएं, विटामिन सी का सेवन बढ़ाएं, क्रैनबेरी जूस पिएं, प्रोबायोटिक्स लें
वैरिकाज़ नसें, सीधे लेट जाएं और पैर ऊंचे उठाएं, मलहम का उपयोग करें, नस को दबाने का उपयोग करें, लंबे समय तक स्थिर न रहें
एड्स, खुले घावों से बचें, यदि संभव हो तो पीपीई पहनें, डॉक्टर से परामर्श लें, अनुवर्ती कार्रवाई करें
लकवा (मस्तिष्क रक्तस्राव), मालिश, स्वस्थ भोजन, व्यायाम, डॉक्टर से परामर्श लें
टाइफाइड, उच्च कैलोरी वाली सब्जियां खाएं, एंटीबायोटिक थेरेपी लें, डॉक्टर से सलाह लें, दवा लें
हेपेटाइटिस बी, नजदीकी अस्पताल से परामर्श लें, टीकाकरण कराएं, स्वस्थ भोजन करें, दवा लें
फंगल संक्रमण, दो बार स्नान करें, नहाने के पानी में डिटोल या नीम का उपयोग करें, संक्रमित क्षेत्र को सूखा रखें, साफ कपड़े का उपयोग करें
हेपेटाइटिस सी, नजदीकी अस्पताल से परामर्श लें, टीकाकरण कराएं, स्वस्थ भोजन करें, दवा लें
माइग्रेन, ध्यान करें, तनाव कम करें, धूप में पोलोरॉयड चश्मे का प्रयोग करें, डॉक्टर से सलाह लें
ब्रोन्कियल अस्थमा, ढीले कपड़े अपनाएँ, गहरी साँसें लें, ट्रिगर से दूर रहें, मदद लें
अल्कोहलिक हेपेटाइटिस, शराब का सेवन बंद करें, डॉक्टर से परामर्श लें, दवा लें, अनुवर्ती कार्रवाई करें
पीलिया, खूब पानी पिएं, दूध थीस्ल का सेवन करें, फल और उच्च फाइबर युक्त भोजन खाएं, दवा लें
हेपेटाइटिस ई, शराब का सेवन बंद करें, आराम करें, डॉक्टर से सलाह लें, दवा लें
डेंगू, पपीते के पत्तों का रस पियें, वसायुक्त मसालेदार भोजन से बचें, मच्छरों को दूर रखें, हाइड्रेटेड रहें
हेपेटाइटिस डी, डॉक्टर से परामर्श लें, दवा लें, स्वस्थ भोजन करें, अनुवर्ती कार्रवाई करें
दिल का दौरा, एम्बुलेंस बुलाएं, एस्प्रिन चबाएं या निगलें, शांत रहें,
निमोनिया, डॉक्टर से सलाह लें, दवा लें, आराम करें, फॉलोअप करें
गठिया, व्यायाम, गर्म और ठंडी चिकित्सा का उपयोग करें, एक्यूपंक्चर का प्रयास करें, मालिश करें
गैस्ट्रोएंटेराइटिस, कुछ समय के लिए ठोस भोजन खाना बंद कर दें, पानी के छोटे घूंट पीने का प्रयास करें, आराम करें, फिर से खाना शुरू कर दें
क्षय रोग, मुंह ढकें, डॉक्टर से परामर्श लें, दवा लें, आराम करें
