disease,description
हाइपोग्लाइसीमिया, हाइपोग्लाइसीमिया एक ऐसी स्थिति है जिसमें आपके रक्त शर्करा (ग्लूकोज) का स्तर सामान्य से कम होता है। ग्लूकोज आपके शरीर का मुख्य ऊर्जा स्रोत है। हाइपोग्लाइसीमिया अक्सर मधुमेह के उपचार से संबंधित होता है। लेकिन अन्य दवाएं और विभिन्न प्रकार की स्थितियां - कई दुर्लभ - उन लोगों में निम्न रक्त शर्करा का कारण बन सकती हैं जिन्हें मधुमेह नहीं है।
मुँहासे,"मुँहासे पाइलोसेबियस इकाइयों (बालों के रोम और उनके साथ जुड़ी वसामय ग्रंथि) की रुकावट और सूजन के परिणामस्वरूप कॉमेडोन, पपल्स, पुस्ट्यूल, नोड्यूल और/या सिस्ट का निर्माण होता है। मुँहासे चेहरे और ऊपरी धड़ पर विकसित होते हैं। यह अक्सर किशोरों को प्रभावित करता है।"
मधुमेह, "मधुमेह एक ऐसी बीमारी है जो तब होती है जब आपका रक्त ग्लूकोज, जिसे रक्त शर्करा भी कहा जाता है, बहुत अधिक होता है। रक्त ग्लूकोज आपकी ऊर्जा का मुख्य स्रोत है और आपके द्वारा खाए जाने वाले भोजन से आता है। इंसुलिन, अग्न्याशय द्वारा बनाया गया एक हार्मोन, ग्लूकोज में मदद करता है भोजन से आपकी कोशिकाओं में ऊर्जा के लिए उपयोग किया जाता है।"
इम्पेटिगो,"इम्पेटिगो (im-puh-TIE-go) एक आम और अत्यधिक संक्रामक त्वचा संक्रमण है जो मुख्य रूप से शिशुओं और बच्चों को प्रभावित करता है। इम्पेटिगो आमतौर पर चेहरे पर लाल घावों के रूप में दिखाई देता है, विशेष रूप से बच्चे के नाक और मुंह के आसपास, और हाथों पर पैर। घाव फट जाते हैं और शहद के रंग की पपड़ी बन जाती है।"
उच्च रक्तचाप, "उच्च रक्तचाप (एचटीएन या एचटी), जिसे उच्च रक्तचाप (एचबीपी) के रूप में भी जाना जाता है, एक दीर्घकालिक चिकित्सा स्थिति है जिसमें धमनियों में रक्तचाप लगातार बढ़ा हुआ रहता है। उच्च रक्तचाप आमतौर पर लक्षण पैदा नहीं करता है।"
पेप्टिक अल्सर रोग, "पेप्टिक अल्सर रोग (पीयूडी) पेट की अंदरूनी परत, छोटी आंत के पहले भाग या कभी-कभी निचले अन्नप्रणाली में एक दरार है। पेट में अल्सर को गैस्ट्रिक अल्सर कहा जाता है, जबकि एक में आंतों का पहला भाग ग्रहणी संबंधी अल्सर है।"
डिमॉर्फिक बवासीर (बवासीर), "बवासीर, जिसे बवासीर भी कहा जाता है, गुदा नहर में संवहनी संरचनाएं हैं। उनके ... अन्य नाम, बवासीर, बवासीर, बवासीर रोग।"
सामान्य सर्दी, "सामान्य सर्दी आपकी नाक और गले (ऊपरी श्वसन पथ) का एक वायरल संक्रमण है। यह आमतौर पर हानिरहित है, हालांकि ऐसा महसूस नहीं हो सकता है। कई प्रकार के वायरस सामान्य सर्दी का कारण बन सकते हैं।"
चिकनपॉक्स,"चिकनपॉक्स वैरिसेला-जोस्टर वायरस (वीजेडवी) के कारण होने वाली एक अत्यधिक संक्रामक बीमारी है। यह खुजली, छाले जैसे दाने का कारण बन सकता है। दाने पहले छाती, पीठ और चेहरे पर दिखाई देते हैं, और फिर फैल जाते हैं। पूरे शरीर में 250 से 500 के बीच खुजली वाले छाले हो जाते हैं।"
सर्वाइकल स्पोंडिलोसिस, "सरवाइकल स्पोंडिलोसिस उम्र से संबंधित टूट-फूट के लिए एक सामान्य शब्द है जो आपकी गर्दन में रीढ़ की हड्डी की डिस्क को प्रभावित करता है। जैसे-जैसे डिस्क निर्जलित और सिकुड़ती है, ऑस्टियोआर्थराइटिस के लक्षण विकसित होते हैं, जिसमें हड्डियों के किनारों पर हड्डी का उभार (हड्डी का स्पर्स) भी शामिल है। "
हाइपरथायरायडिज्म, "हाइपरथायरायडिज्म (अति सक्रिय थायरॉयड) तब होता है जब आपकी थायरॉयड ग्रंथि थायरोक्सिन हार्मोन का बहुत अधिक उत्पादन करती है। हाइपरथायरायडिज्म आपके शरीर के चयापचय को तेज कर सकता है, जिससे अनजाने में वजन कम हो सकता है और दिल की धड़कन तेज या अनियमित हो सकती है।"
मूत्र पथ संक्रमण, "मूत्र पथ संक्रमण: गुर्दे, मूत्रवाहिनी, मूत्राशय, या मूत्रमार्ग का संक्रमण। संक्षिप्त यूटीआई। यूटीआई वाले हर किसी में लक्षण नहीं होते हैं, लेकिन सामान्य लक्षणों में बार-बार पेशाब करने की इच्छा होना और पेशाब करते समय दर्द या जलन शामिल है।"
वैरिकाज़ नसें, "एक नस जो बड़ी और मुड़ी हुई होती है, जो अक्सर उभरी हुई, नीली रक्त वाहिका के रूप में दिखाई देती है जो त्वचा के माध्यम से स्पष्ट रूप से दिखाई देती है। वैरिकाज़ नसें वृद्ध वयस्कों, विशेष रूप से महिलाओं में सबसे आम हैं, और विशेष रूप से पैरों पर होती हैं।"
एड्स, "एक्वायर्ड इम्युनोडेफिशिएंसी सिंड्रोम (एड्स) मानव इम्युनोडेफिशिएंसी वायरस (एचआईवी) के कारण होने वाली एक दीर्घकालिक, संभावित जीवन-घातक स्थिति है। एचआईवी आपकी प्रतिरक्षा प्रणाली को नुकसान पहुंचाकर आपके शरीर की संक्रमण और बीमारी से लड़ने की क्षमता में हस्तक्षेप करता है।"
पक्षाघात (मस्तिष्क रक्तस्राव), "इंट्रासेरेब्रल रक्तस्राव (आईसीएच) तब होता है जब रक्त अचानक मस्तिष्क के ऊतकों में फट जाता है, जिससे आपके मस्तिष्क को नुकसान होता है। लक्षण आमतौर पर आईसीएच के दौरान अचानक प्रकट होते हैं। इनमें सिरदर्द, कमजोरी, भ्रम और पक्षाघात शामिल हैं, विशेष रूप से मस्तिष्क के एक तरफ आपका शरीर।"
टाइफाइड, "साल्मोनेला टाइफी जीवाणु के संक्रमण के कारण होने वाले बुखार के कारण होने वाली एक गंभीर बीमारी। टाइफाइड बुखार की घातक शुरुआत होती है, जिसमें बुखार, सिरदर्द, कब्ज, अस्वस्थता, ठंड लगना और मांसपेशियों में दर्द होता है। दस्त असामान्य है, और उल्टी आमतौर पर गंभीर नहीं होती है ।"
हेपेटाइटिस बी, "हेपेटाइटिस बी आपके लीवर का एक संक्रमण है। यह अंग पर घाव, लीवर की विफलता और कैंसर का कारण बन सकता है। अगर इसका इलाज नहीं किया गया तो यह घातक हो सकता है। यह तब फैलता है जब लोग रक्त के संपर्क में आते हैं, खुलते हैं हेपेटाइटिस बी वायरस से पीड़ित किसी व्यक्ति के घाव, या शरीर का तरल पदार्थ।"
फंगल संक्रमण, "मनुष्यों में, फंगल संक्रमण तब होता है जब एक हमलावर कवक शरीर के एक क्षेत्र पर कब्जा कर लेता है और प्रतिरक्षा प्रणाली को संभालने के लिए बहुत अधिक होता है। कवक हवा, मिट्टी, पानी और पौधों में रह सकते हैं। कुछ ऐसे भी हैं कवक जो मानव शरीर में स्वाभाविक रूप से रहते हैं, कई रोगाणुओं की तरह, सहायक कवक और हानिकारक कवक भी होते हैं।"
हेपेटाइटिस सी, "हेपेटाइटिस सी वायरस (एचसीवी) के कारण यकृत की सूजन, जो आमतौर पर रक्त आधान (दुर्लभ), हेमोडायलिसिस और सुई चुभन के माध्यम से फैलती है। हेपेटाइटिस सी यकृत को जो नुकसान पहुंचाता है, उससे सिरोसिस और इसकी जटिलताएं हो सकती हैं। साथ ही कैंसर भी।"
माइग्रेन, "माइग्रेन के कारण आमतौर पर सिर के एक तरफ गंभीर धड़कते हुए दर्द या धड़कन की अनुभूति हो सकती है। यह अक्सर मतली, उल्टी और प्रकाश और ध्वनि के प्रति अत्यधिक संवेदनशीलता के साथ होता है। माइग्रेन का दौरा घंटों से लेकर कई दिनों तक रह सकता है, और दर्द इतना गंभीर हो सकता है कि यह आपकी दैनिक गतिविधियों में हस्तक्षेप कर सकता है।"
ब्रोन्कियल अस्थमा, "ब्रोन्कियल अस्थमा एक चिकित्सीय स्थिति है जिसके कारण फेफड़ों का वायुमार्ग सूज जाता है और संकीर्ण हो जाता है। इस सूजन के कारण, वायुमार्ग अतिरिक्त बलगम पैदा करता है जिससे सांस लेना मुश्किल हो जाता है, जिसके परिणामस्वरूप खांसी, छोटी सांस और घरघराहट होती है। यह बीमारी पुरानी है और दैनिक कामकाज में बाधा डालती है।"
अल्कोहलिक हेपेटाइटिस, "अल्कोहलिक हेपेटाइटिस लंबे समय तक भारी शराब के सेवन के कारण होने वाली यकृत की एक रोगग्रस्त, सूजन वाली स्थिति है। यह अत्यधिक शराब पीने और लगातार शराब के सेवन से भी बढ़ जाती है। यदि आपमें यह स्थिति विकसित हो जाती है, तो आपको शराब पीना बंद कर देना चाहिए"
पीलिया,"पित्त वर्णक बिलीरुबिन के असामान्य रूप से उच्च रक्त स्तर के कारण त्वचा और श्वेतपटल (आंखों का सफेद भाग) का पीला पड़ना। पीलापन अन्य ऊतकों और शरीर के तरल पदार्थों तक फैलता है। पीलिया को एक बार ""मोरबस रेगियस" कहा जाता था। शाही रोग) इस विश्वास में कि केवल राजा का स्पर्श ही इसे ठीक कर सकता है"
हेपेटाइटिस ई, हेपेटाइटिस ई वायरस (एचईवी) के संक्रमण के कारण होने वाली यकृत सूजन का एक दुर्लभ रूप। यह किसी संक्रमित व्यक्ति द्वारा संभाले गए भोजन या पेय के माध्यम से या उन क्षेत्रों में संक्रमित जल आपूर्ति के माध्यम से फैलता है जहां मल पानी में मिल सकता है। हेपेटाइटिस ई क्रोनिक लिवर रोग का कारण नहीं बनता है।
डेंगू,"फ्लेविवायरस (जीनस फ्लेविवायरस की प्रजाति डेंगू वायरस) के कारण होने वाला एक तीव्र संक्रामक रोग, जो एडीज मच्छरों द्वारा फैलता है, और इसमें सिरदर्द, गंभीर जोड़ों का दर्द और दाने होते हैं। - इसे हड्डी तोड़ बुखार, डेंगू बुखार भी कहा जाता है।"
हेपेटाइटिस डी, "हेपेटाइटिस डी, जिसे हेपेटाइटिस डेल्टा वायरस के रूप में भी जाना जाता है, एक संक्रमण है जो लिवर में सूजन का कारण बनता है। यह सूजन लिवर के कार्य को ख़राब कर सकती है और लिवर में घाव और कैंसर सहित दीर्घकालिक लिवर की समस्याएं पैदा कर सकती है। यह स्थिति इस कारण से होती है हेपेटाइटिस डी वायरस (एचडीवी) द्वारा।"
दिल का दौरा, "रक्त आपूर्ति की हानि के कारण हृदय की मांसपेशियों की मृत्यु। रक्त आपूर्ति की हानि आमतौर पर कोरोनरी धमनी के पूर्ण अवरोध के कारण होती है, जो हृदय की मांसपेशियों को रक्त की आपूर्ति करने वाली धमनियों में से एक है।"
निमोनिया, "निमोनिया एक या दोनों फेफड़ों में संक्रमण है। बैक्टीरिया, वायरस और कवक इसका कारण बनते हैं। संक्रमण के कारण आपके फेफड़ों में वायु की थैलियों में सूजन हो जाती है, जिन्हें एल्वियोली कहा जाता है। एल्वियोली तरल पदार्थ या मवाद से भर जाती है, जिससे यह मुश्किल हो जाता है। साँस लेना।"
गठिया, "गठिया आपके एक या अधिक जोड़ों की सूजन और कोमलता है। गठिया के मुख्य लक्षण जोड़ों में दर्द और कठोरता हैं, जो आमतौर पर उम्र के साथ खराब हो जाते हैं। गठिया के सबसे आम प्रकार ऑस्टियोआर्थराइटिस और रुमेटीइड गठिया हैं।"
गैस्ट्रोएंटेराइटिस, "गैस्ट्रोएंटेराइटिस पाचन तंत्र, विशेष रूप से पेट और बड़ी और छोटी आंतों की सूजन है। वायरल और बैक्टीरियल गैस्ट्रोएंटेराइटिस आंतों में संक्रमण है जो दस्त, पेट में ऐंठन, मतली और उल्टी के लक्षणों से जुड़ा होता है।"
क्षय रोग, "क्षय रोग (टीबी) एक संक्रामक रोग है जो आमतौर पर माइकोबैक्टीरियम ट्यूबरकुलोसिस (एमटीबी) बैक्टीरिया के कारण होता है। क्षय रोग आमतौर पर फेफड़ों को प्रभावित करता है, लेकिन शरीर के अन्य हिस्सों को भी प्रभावित कर सकता है। अधिकांश संक्रमणों में कोई लक्षण नहीं दिखाई देते हैं, जिस स्थिति में इसे कहा जाता है। गुप्त तपेदिक।"
