Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
హైపర్ థైరాయిడిజం, ఆరోగ్యంగా తినండి, మసాజ్ చేయండి, నిమ్మ ఔషధతైలం ఉపయోగించండి, రేడియోధార్మిక అయోడిన్ చికిత్స తీసుకోండి
యూరినరీ ట్రాక్ట్ ఇన్ఫెక్షన్, పుష్కలంగా నీరు త్రాగండి, విటమిన్ సి తీసుకోవడం పెంచండి, క్రాన్బెర్రీ జ్యూస్ త్రాగండి, ప్రోబయోటిక్స్ తీసుకోండి
అనారోగ్య సిరలు, చదునుగా పడుకుని, కాలును పైకి లేపండి, లేపనాలు వాడండి, సిర కుదింపు ఉపయోగించండి, ఎక్కువసేపు నిలబడకండి
AIDS, ఓపెన్ కట్స్ నివారించండి, వీలైతే ppe ధరించండి, వైద్యుడిని సంప్రదించండి, అనుసరించండి
పక్షవాతం (మెదడు రక్తస్రావం), మసాజ్, ఆరోగ్యకరమైన ఆహారం, వ్యాయామం, వైద్యుడిని సంప్రదించండి
టైఫాయిడ్, అధిక కేలరీల కూరగాయలు తినండి, యాంటీబయాటిక్ థెరపీ, వైద్యుడిని సంప్రదించండి, మందులు
హెపటైటిస్ బి, సమీపంలోని ఆసుపత్రిని సంప్రదించండి, టీకాలు వేయండి, ఆరోగ్యంగా తినండి, మందులు తీసుకోండి
ఫంగల్ ఇన్ఫెక్షన్, రెండుసార్లు స్నానం చేయండి, స్నానం చేసే నీటిలో డెటాల్ లేదా వేప ఉపయోగించండి, సోకిన ప్రాంతాన్ని పొడిగా ఉంచండి, శుభ్రమైన గుడ్డలను ఉపయోగించండి
హెపటైటిస్ సి, సమీపంలోని ఆసుపత్రిని సంప్రదించండి, టీకా, ఆరోగ్యంగా తినండి, మందులు
మైగ్రేన్, ధ్యానం, ఒత్తిడిని తగ్గించండి, ఎండలో పోలోరాయిడ్ గ్లాసెస్ ఉపయోగించండి, వైద్యుడిని సంప్రదించండి
బ్రోన్చియల్ ఆస్తమా, వదులుగా ఉండే దుస్తులకు మారండి, లోతైన శ్వాస తీసుకోండి, ట్రిగ్గర్ నుండి దూరంగా ఉండండి, సహాయం కోరండి
ఆల్కహాలిక్ హెపటైటిస్, ఆల్కహాల్ వినియోగాన్ని ఆపండి, వైద్యుడిని సంప్రదించండి, మందులను అనుసరించండి
కామెర్లు, పుష్కలంగా నీరు త్రాగాలి, మిల్క్ తిస్టిల్ తీసుకోవాలి, పండ్లు మరియు అధిక పీచుపదార్థాలు కలిగిన ఆహారం, మందులు తినండి
హెపటైటిస్ E, మద్యపానం మానేయండి, విశ్రాంతి తీసుకోండి, వైద్యుడిని సంప్రదించండి, మందులు
డెంగ్యూ, బొప్పాయి ఆకు రసం త్రాగండి, కొవ్వు కారపు ఆహారాన్ని నివారించండి, దోమలను దూరంగా ఉంచండి, హైడ్రేటెడ్ గా ఉంచండి
హెపటైటిస్ డి, వైద్యుడిని సంప్రదించండి, మందులు, ఆరోగ్యంగా తినండి, అనుసరించండి
గుండెపోటు, అంబులెన్స్‌కు కాల్ చేయండి, ఆస్ప్రిన్ నమలండి లేదా మింగండి, ప్రశాంతంగా ఉండండి,
న్యుమోనియా, వైద్యుడిని సంప్రదించండి, మందులు, విశ్రాంతి, అనుసరించండి
ఆర్థరైటిస్, వ్యాయామం, వేడి మరియు చల్లని చికిత్సను ఉపయోగించండి, ఆక్యుపంక్చర్ ప్రయత్నించండి, మసాజ్ చేయండి
గ్యాస్ట్రోఎంటెరిటిస్, ఘనమైన ఆహారాన్ని కొంతకాలం మానేయండి, చిన్న చిన్న నీరు త్రాగడానికి ప్రయత్నించండి, విశ్రాంతి తీసుకోండి, తిరిగి తినడానికి సులభంగా ఉండండి
క్షయవ్యాధి, నోరు మూసుకుని, వైద్యుడిని సంప్రదించండి, మందులు, విశ్రాంతి
