disease,description
హైపోగ్లైసీమియా, హైపోగ్లైసీమియా అనేది మీ రక్తంలో చక్కెర (గ్లూకోజ్) స్థాయి సాధారణం కంటే తక్కువగా ఉండే పరిస్థితి. గ్లూకోజ్ మీ శరీరం యొక్క ప్రధాన శక్తి వనరు. హైపోగ్లైసీమియా తరచుగా మధుమేహం చికిత్సకు సంబంధించినది. కానీ ఇతర మందులు మరియు అనేక రకాల పరిస్థితులు - చాలా అరుదైనవి - మధుమేహం లేని వ్యక్తులలో తక్కువ రక్త చక్కెరను కలిగిస్తాయి.
మొటిమలు,"మొటిమల వల్గారిస్ అనేది పిలోస్‌బాషియస్ యూనిట్ల (హెయిర్ ఫోలికల్స్ మరియు వాటితో పాటుగా ఉండే సేబాషియస్ గ్రంధి) అడ్డంకి మరియు వాపు ఫలితంగా కామెడోన్‌లు, పాపుల్స్, స్ఫోటములు, నోడ్యూల్స్ మరియు/లేదా తిత్తులు ఏర్పడటం. ముఖం మరియు పైభాగంలో మొటిమలు అభివృద్ధి చెందుతాయి. ఇది చాలా తరచుగా కౌమారదశలో ఉన్నవారిని ప్రభావితం చేస్తుంది."
డయాబెటిస్,"డయాబెటిస్ అనేది మీ రక్తంలో గ్లూకోజ్ అని కూడా పిలువబడే మీ రక్తంలో గ్లూకోజ్ చాలా ఎక్కువగా ఉన్నప్పుడు సంభవించే ఒక వ్యాధి. రక్తంలో గ్లూకోజ్ మీ ప్రధాన శక్తి వనరు మరియు మీరు తినే ఆహారం నుండి వస్తుంది. ఇన్సులిన్, క్లోమం ద్వారా తయారు చేయబడిన హార్మోన్, గ్లూకోజ్‌కు సహాయపడుతుంది. ఆహారం నుండి మీ కణాలలోకి శక్తి కోసం ఉపయోగించబడుతుంది."
ఇంపెటిగో,"ఇంపెటిగో (im-puh-TIE-go) అనేది ప్రధానంగా శిశువులు మరియు పిల్లలను ప్రభావితం చేసే ఒక సాధారణ మరియు అత్యంత అంటువ్యాధి చర్మ సంక్రమణం. ఇంపెటిగో సాధారణంగా ముఖం మీద, ముఖ్యంగా పిల్లల ముక్కు మరియు నోటి చుట్టూ మరియు చేతులు మరియు చేతులపై ఎర్రటి పుండ్లు వలె కనిపిస్తుంది. పాదాలు పగిలిపోయి తేనె-రంగు క్రస్ట్‌లు ఏర్పడతాయి."
హైపర్‌టెన్షన్,"హైపర్‌టెన్షన్ (HTN లేదా HT), అధిక రక్తపోటు (HBP) అని కూడా పిలుస్తారు, ఇది ధమనులలో రక్తపోటు నిరంతరంగా పెరిగే దీర్ఘకాలిక వైద్య పరిస్థితి. అధిక రక్తపోటు సాధారణంగా లక్షణాలను కలిగించదు."
పెప్టిక్ అల్సర్ డిసీయే,"పెప్టిక్ అల్సర్ వ్యాధి (PUD) అనేది కడుపు లోపలి పొర, చిన్న ప్రేగు యొక్క మొదటి భాగం లేదా కొన్నిసార్లు దిగువ అన్నవాహికలో విచ్ఛిన్నం. కడుపులో పుండును గ్యాస్ట్రిక్ అల్సర్ అంటారు, అయితే అందులో ఒకటి ప్రేగులలో మొదటి భాగం డ్యూడెనల్ అల్సర్."
డైమోర్ఫిక్ హేమోరాయిడ్స్(పైల్స్),"హెమోరాయిడ్స్, హెమోరాయిడ్స్ అని కూడా రాస్తారు, ఇవి ఆసన కాలువలోని వాస్కులర్ నిర్మాణాలు. వాటిలో ... ఇతర పేర్లు, హేమోరాయిడ్స్, పైల్స్, హెమోరాయిడల్ వ్యాధి ."
సాధారణ జలుబు, "సాధారణ జలుబు అనేది మీ ముక్కు మరియు గొంతు (ఎగువ శ్వాసకోశం) యొక్క వైరల్ ఇన్ఫెక్షన్. ఇది సాధారణంగా ప్రమాదకరం కాదు, అయితే అది అలా అనిపించకపోవచ్చు. అనేక రకాల వైరస్‌లు సాధారణ జలుబుకు కారణం కావచ్చు."
చికెన్ పాక్స్,"చికెన్‌పాక్స్ అనేది వరిసెల్లా-జోస్టర్ వైరస్ (VZV) వల్ల కలిగే అత్యంత అంటువ్యాధి. ఇది దురద, పొక్కు వంటి దద్దుర్లు కలిగిస్తుంది. దద్దుర్లు మొదట ఛాతీ, వీపు మరియు ముఖంపై కనిపించి, ఆపై వ్యాపిస్తాయి. మొత్తం శరీరం, దీనివల్ల 250 మరియు 500 దురద బొబ్బలు ఏర్పడతాయి."
సర్వైకల్ స్పాండిలోసిస్, "సెర్వికల్ స్పాండిలోసిస్ అనేది మీ మెడలోని వెన్నెముక డిస్క్‌లను ప్రభావితం చేసే వయస్సు-సంబంధిత దుస్తులు మరియు కన్నీటికి సంబంధించిన సాధారణ పదం. డిస్క్‌లు డీహైడ్రేట్ మరియు కుంచించుకుపోవడంతో, ఎముకల అంచుల (బోన్ స్పర్స్) వెంట అస్థి అంచనాలతో సహా ఆస్టియో ఆర్థరైటిస్ సంకేతాలు అభివృద్ధి చెందుతాయి. "
హైపర్ థైరాయిడిజం,"మీ థైరాయిడ్ గ్రంధి థైరాక్సిన్ అనే హార్మోన్‌ను ఎక్కువగా ఉత్పత్తి చేసినప్పుడు హైపర్ థైరాయిడిజం (ఓవర్ యాక్టివ్ థైరాయిడ్) ఏర్పడుతుంది. హైపర్ థైరాయిడిజం మీ శరీరం యొక్క జీవక్రియను వేగవంతం చేస్తుంది, దీనివల్ల అనుకోకుండా బరువు తగ్గడం మరియు వేగవంతమైన లేదా సక్రమంగా లేని హృదయ స్పందన వస్తుంది."
యూరినరీ ట్రాక్ట్ ఇన్ఫెక్షన్,"యూరినరీ ట్రాక్ట్ ఇన్ఫెక్షన్: మూత్రపిండము, మూత్ర నాళము, మూత్రాశయం లేదా మూత్రనాళం యొక్క ఇన్ఫెక్షన్. UTI సంక్షిప్తీకరించబడింది. UTI ఉన్న ప్రతి ఒక్కరికీ లక్షణాలు ఉండవు, కానీ సాధారణ లక్షణాలలో తరచుగా మూత్ర విసర్జన చేయాలనే కోరిక మరియు మూత్ర విసర్జన చేసేటప్పుడు నొప్పి లేదా మంటలు ఉంటాయి."
అనారోగ్య సిరలు,"పెద్దగా మరియు మెలితిరిగిన సిర, తరచుగా ఉబ్బిన, నీలం రక్తనాళంగా కనిపిస్తుంది, ఇది చర్మం ద్వారా స్పష్టంగా కనిపిస్తుంది. అనారోగ్య సిరలు వృద్ధులలో, ముఖ్యంగా స్త్రీలలో సర్వసాధారణంగా కనిపిస్తాయి మరియు ముఖ్యంగా కాళ్ళపై సంభవిస్తాయి."
AIDS,"అక్వైర్డ్ ఇమ్యునో డిఫిషియెన్సీ సిండ్రోమ్ (AIDS) అనేది హ్యూమన్ ఇమ్యునో డెఫిషియెన్సీ వైరస్ (HIV) వల్ల కలిగే దీర్ఘకాలిక, సంభావ్య ప్రాణాంతక పరిస్థితి. మీ రోగనిరోధక వ్యవస్థను దెబ్బతీయడం ద్వారా, ఇన్‌ఫెక్షన్ మరియు వ్యాధులతో పోరాడే మీ శరీరం యొక్క సామర్థ్యంలో HIV జోక్యం చేసుకుంటుంది."
పక్షవాతం (మెదడు రక్తస్రావం), "ఇంట్రాసెరెబ్రల్ హెమరేజ్ (ICH) అనేది మెదడు కణజాలంలోకి రక్తం అకస్మాత్తుగా పేలినప్పుడు, మీ మెదడుకు హాని కలిగిస్తుంది. ICH సమయంలో లక్షణాలు సాధారణంగా అకస్మాత్తుగా కనిపిస్తాయి. వాటిలో తలనొప్పి, బలహీనత, గందరగోళం మరియు పక్షవాతం ఉంటాయి, ముఖ్యంగా ఒక వైపు. మీ శరీరం."
టైఫాయిడ్,"సాల్మోనెల్లా టైఫై బాక్టీరియంతో ఇన్ఫెక్షన్ కారణంగా జ్వరంతో కూడిన ఒక తీవ్రమైన అనారోగ్యం. టైఫాయిడ్ జ్వరం జ్వరం, తలనొప్పి, మలబద్ధకం, అనారోగ్యం, చలి మరియు కండరాల నొప్పితో ఒక కృత్రిమ ఆవిర్భావాన్ని కలిగి ఉంటుంది. విరేచనాలు అసాధారణం, మరియు వాంతులు సాధారణంగా తీవ్రంగా ఉండవు. ."
హెపటైటిస్ బి,"హెపటైటిస్ బి అనేది మీ కాలేయానికి సంబంధించిన ఇన్ఫెక్షన్. ఇది అవయవానికి మచ్చలు, కాలేయ వైఫల్యం మరియు క్యాన్సర్‌కు కారణమవుతుంది. దీనికి చికిత్స చేయకపోతే ఇది ప్రాణాంతకం కావచ్చు. ప్రజలు రక్తంతో సంబంధానికి వచ్చినప్పుడు, తెరుచుకున్నప్పుడు ఇది వ్యాపిస్తుంది. పుండ్లు, లేదా హెపటైటిస్ బి వైరస్ ఉన్నవారి శరీర ద్రవాలు."
ఫంగల్ ఇన్ఫెక్షన్,"మానవులలో, ఫంగస్ ఇన్ఫెక్షన్లు శరీరంలోని ఒక ప్రాంతాన్ని ఆక్రమించుకున్నప్పుడు మరియు రోగనిరోధక వ్యవస్థను నిర్వహించడానికి చాలా ఎక్కువగా ఉన్నప్పుడు ఫంగల్ ఇన్ఫెక్షన్లు సంభవిస్తాయి. శిలీంధ్రాలు గాలి, నేల, నీరు మరియు మొక్కలలో జీవించగలవు. కొన్ని కూడా ఉన్నాయి. మానవ శరీరంలో సహజంగా నివసించే శిలీంధ్రాలు అనేక సూక్ష్మజీవుల వలె, సహాయక శిలీంధ్రాలు మరియు హానికరమైన శిలీంధ్రాలు ఉన్నాయి.
హెపటైటిస్ సి,"హెపటైటిస్ సి వైరస్ (HCV) కారణంగా కాలేయం యొక్క వాపు, ఇది సాధారణంగా రక్తమార్పిడి (అరుదైన), హిమోడయాలసిస్ మరియు సూది కర్రల ద్వారా వ్యాపిస్తుంది. హెపటైటిస్ సి కాలేయానికి చేసే నష్టం సిర్రోసిస్ మరియు దాని సమస్యలకు దారి తీస్తుంది. అలాగే క్యాన్సర్."
మైగ్రేన్,"ఒక పార్శ్వపు నొప్పి తీవ్రమైన నొప్పి లేదా పల్సింగ్ అనుభూతిని కలిగిస్తుంది, సాధారణంగా తలకు ఒక వైపున ఉంటుంది. ఇది తరచుగా వికారం, వాంతులు మరియు కాంతి మరియు ధ్వనికి విపరీతమైన సున్నితత్వంతో కూడి ఉంటుంది. మైగ్రేన్ దాడులు గంటల నుండి రోజుల వరకు ఉంటాయి మరియు నొప్పి చాలా తీవ్రంగా ఉంటుంది, అది మీ రోజువారీ కార్యకలాపాలకు అంతరాయం కలిగిస్తుంది."
బ్రోన్చియల్ ఆస్తమా,"బ్రోన్చియల్ ఆస్తమా అనేది ఊపిరితిత్తుల వాయుమార్గం ఉబ్బడం మరియు ఇరుకైనదిగా చేసే ఒక వైద్య పరిస్థితి. ఈ వాపు కారణంగా, గాలి మార్గం అదనపు శ్లేష్మాన్ని ఉత్పత్తి చేస్తుంది, ఇది శ్వాస తీసుకోవడం కష్టమవుతుంది, దీని ఫలితంగా దగ్గు, తక్కువ శ్వాస మరియు శ్వాసలో గురక వస్తుంది. వ్యాధి దీర్ఘకాలికమైనది మరియు రోజువారీ పనికి ఆటంకం కలిగిస్తుంది."
ఆల్కహాలిక్ హెపటైటిస్,"ఆల్కహాలిక్ హెపటైటిస్ అనేది చాలా కాలం పాటు అధికంగా ఆల్కహాల్ తీసుకోవడం వల్ల కాలేయం యొక్క వ్యాధిగ్రస్తమైన, తాపజనక స్థితి. ఇది అతిగా మద్యపానం మరియు కొనసాగుతున్న మద్యపానం వల్ల కూడా తీవ్రమవుతుంది. మీరు ఈ పరిస్థితిని అభివృద్ధి చేస్తే, మీరు తప్పనిసరిగా మద్యం సేవించడం మానేయాలి"
కామెర్లు,"పిత్త వర్ణద్రవ్యం బిలిరుబిన్ అసాధారణంగా అధిక రక్త స్థాయిల వలన చర్మం మరియు స్క్లెరా (కళ్లలోని తెల్లటి రంగు) పసుపు రంగులో మారడం. పసుపు రంగు ఇతర కణజాలాలకు మరియు శరీర ద్రవాలకు వ్యాపిస్తుంది. కామెర్లు ఒకప్పుడు ""మోర్బస్ రెజియస్" అని పిలిచేవారు. ది రెగల్ వ్యాధి) రాజు స్పర్శ మాత్రమే నయం చేయగలదనే నమ్మకంతో"
హెపటైటిస్ E, హెపటైటిస్ E వైరస్ (HEV) సంక్రమణ వలన సంభవించే కాలేయ వాపు యొక్క అరుదైన రూపం. ఇది సోకిన వ్యక్తి ద్వారా నిర్వహించబడే ఆహారం లేదా పానీయాల ద్వారా లేదా మల పదార్థం నీటిలోకి ప్రవేశించే ప్రదేశాలలో సోకిన నీటి సరఫరా ద్వారా వ్యాపిస్తుంది. హెపటైటిస్ ఇ దీర్ఘకాలిక కాలేయ వ్యాధికి కారణం కాదు.
డెంగ్యూ, "ఫ్లేవివైరస్ (ఫ్లావివైరస్ జాతికి చెందిన డెంగ్యూ వైరస్) వలన ఏర్పడే తీవ్రమైన అంటు వ్యాధి, ఈడెస్ దోమల ద్వారా వ్యాపిస్తుంది మరియు తలనొప్పి, తీవ్రమైన కీళ్ల నొప్పులు మరియు దద్దుర్లు ఉంటాయి. - దీనిని బ్రేక్‌బోన్ ఫీవర్, డెంగ్యూ జ్వరం అని కూడా పిలుస్తారు."
హెపటైటిస్ డి, "హెపటైటిస్ డి, హెపటైటిస్ డెల్టా వైరస్ అని కూడా పిలుస్తారు, ఇది కాలేయం వాపుకు కారణమవుతుంది. ఈ వాపు కాలేయ పనితీరును దెబ్బతీస్తుంది మరియు కాలేయ మచ్చలు మరియు క్యాన్సర్‌తో సహా దీర్ఘకాలిక కాలేయ సమస్యలను కలిగిస్తుంది. ఈ పరిస్థితి ఏర్పడుతుంది. హెపటైటిస్ డి వైరస్ (HDV) ద్వారా."
గుండెపోటు, "రక్త సరఫరా కోల్పోవడం వల్ల గుండె కండరాల మరణం. రక్త సరఫరా కోల్పోవడం సాధారణంగా గుండె కండరాలకు రక్తాన్ని సరఫరా చేసే ధమనులలో ఒకటైన కొరోనరీ ఆర్టరీ పూర్తిగా అడ్డుపడటం వల్ల సంభవిస్తుంది."
న్యుమోనియా,"న్యుమోనియా అనేది ఒకటి లేదా రెండు ఊపిరితిత్తులలో ఒక ఇన్ఫెక్షన్. బాక్టీరియా, వైరస్లు మరియు శిలీంధ్రాలు దీనికి కారణమవుతాయి. ఇన్ఫెక్షన్ మీ ఊపిరితిత్తులలోని గాలి సంచులలో మంటను కలిగిస్తుంది, వీటిని అల్వియోలీ అని పిలుస్తారు. ఆల్వియోలీ ద్రవం లేదా చీముతో నిండి ఉంటుంది, ఇది కష్టతరం చేస్తుంది. ఊపిరి పీల్చుకోవడానికి."
ఆర్థరైటిస్,"కీళ్లవాతం అనేది మీ ఒకటి లేదా అంతకంటే ఎక్కువ కీళ్ల వాపు మరియు సున్నితత్వం. ఆర్థరైటిస్ యొక్క ప్రధాన లక్షణాలు కీళ్ల నొప్పులు మరియు దృఢత్వం, ఇది సాధారణంగా వయస్సుతో మరింత తీవ్రమవుతుంది. ఆర్థరైటిస్‌లో అత్యంత సాధారణ రకాలు ఆస్టియో ఆర్థరైటిస్ మరియు రుమటాయిడ్ ఆర్థరైటిస్.
గ్యాస్ట్రోఎంటెరిటిస్, "గ్యాస్ట్రోఎంటెరిటిస్ అనేది జీర్ణాశయం, ముఖ్యంగా కడుపు, మరియు పెద్ద మరియు చిన్న ప్రేగులలో వాపు. వైరల్ మరియు బాక్టీరియల్ గ్యాస్ట్రోఎంటెరిటిస్ అనేది అతిసారం, పొత్తికడుపు తిమ్మిరి, వికారం మరియు వాంతులు వంటి లక్షణాలతో సంబంధం ఉన్న పేగు అంటువ్యాధులు.
క్షయ,"క్షయవ్యాధి (TB) అనేది సాధారణంగా మైకోబాక్టీరియం ట్యూబర్‌క్యులోసిస్ (MTB) బాక్టీరియా వలన సంక్రమించే ఒక అంటు వ్యాధి. క్షయవ్యాధి సాధారణంగా ఊపిరితిత్తులను ప్రభావితం చేస్తుంది, కానీ శరీరంలోని ఇతర భాగాలను కూడా ప్రభావితం చేస్తుంది. చాలా ఇన్‌ఫెక్షన్‌లు ఎటువంటి లక్షణాలను చూపించవు, ఈ సందర్భంలో దీనిని అంటారు. గుప్త క్షయవ్యాధి."
